Statename,State,FIPS,COUNTY,checker,plumbing,total,rank
Utah,UT,49031,Piute County,"Piute County, Utah",1.434,558,354
Missouri,MO,29053,Cooper County,"Cooper County, Missouri",1.429,6508,355
Mississippi,MS,28147,Walthall County,"Walthall County, Mississippi",1.427,5466,356
Texas,TX,48357,Ochiltree County,"Ochiltree County, Texas",1.420,3732,357
Colorado,CO,8123,Weld County,"Weld County, Colorado",1.418,89553,358
Vermont,VT,50027,Windsor County,"Windsor County, Vermont",1.414,24900,359
Oregon,OR,41001,Baker County,"Baker County, Oregon",1.414,7074,360
Colorado,CO,8014,Broomfield County,"Broomfield County, Colorado",1.413,21375,361
Texas,TX,48467,Van Zandt County,"Van Zandt County, Texas",1.412,19330,362
Oklahoma,OK,40089,McCurtain County,"McCurtain County, Oklahoma",1.407,13074,363
Kentucky,KY,21193,Perry County,"Perry County, Kentucky",1.405,11031,364
Kentucky,KY,21043,Carter County,"Carter County, Kentucky",1.402,10412,365
Minnesota,MN,27071,Koochiching County,"Koochiching County, Minnesota",1.397,6154,366
Virginia,VA,51163,Rockbridge County,"Rockbridge County, Virginia",1.397,9093,367
Texas,TX,48071,Chambers County,"Chambers County, Texas",1.396,11822,368
Texas,TX,48291,Liberty County,"Liberty County, Texas",1.394,24461,369
Kentucky,KY,21069,Fleming County,"Fleming County, Kentucky",1.390,5468,370
Virginia,VA,51081,Greensville County,"Greensville County, Virginia",1.390,3310,371
Pennsylvania,PA,42057,Fulton County,"Fulton County, Pennsylvania",1.390,5973,372
Washington,WA,53043,Lincoln County,"Lincoln County, Washington",1.388,4610,373
Washington,WA,53039,Klickitat County,"Klickitat County, Washington",1.387,8294,374
Mississippi,MS,28163,Yazoo County,"Yazoo County, Mississippi",1.386,8656,375
Oklahoma,OK,40127,Pushmataha County,"Pushmataha County, Oklahoma",1.381,4851,376
Montana,MT,30045,Judith Basin County,"Judith Basin County, Montana",1.379,870,377
North Carolina,NC,37129,New Hanover County,"New Hanover County, North Carolina",1.377,85183,378
Texas,TX,48343,Morris County,"Morris County, Texas",1.372,5028,379
New York,NY,36073,Orleans County,"Orleans County, New York",1.367,15871,380
West Virginia,WV,54047,McDowell County,"McDowell County, West Virginia",1.366,8348,381
Iowa,IA,19135,Monroe County,"Monroe County, Iowa",1.363,3374,382
Idaho,ID,16023,Butte County,"Butte County, Idaho",1.362,1101,383
West Virginia,WV,54103,Wetzel County,"Wetzel County, West Virginia",1.361,6980,384
Nebraska,NE,31091,Hooker County,"Hooker County, Nebraska",1.361,294,385
Oklahoma,OK,40029,Coal County,"Coal County, Oklahoma",1.359,2354,386
Texas,TX,48147,Fannin County,"Fannin County, Texas",1.358,11783,387
Arkansas,AR,5147,Woodruff County,"Woodruff County, Arkansas",1.357,3169,388
Arkansas,AR,5063,Independence County,"Independence County, Arkansas",1.355,14833,389
Idaho,ID,16083,Twin Falls County,"Twin Falls County, Idaho",1.351,27980,390
Pennsylvania,PA,42031,Clarion County,"Clarion County, Pennsylvania",1.349,15638,391
Ohio,OH,39065,Hardin County,"Hardin County, Ohio",1.345,11822,392
Arkansas,AR,5143,Washington County,"Washington County, Arkansas",1.344,77687,393
Missouri,MO,29155,Pemiscot County,"Pemiscot County, Missouri",1.343,6997,394
Kentucky,KY,21237,Wolfe County,"Wolfe County, Kentucky",1.340,2686,395
Pennsylvania,PA,42065,Jefferson County,"Jefferson County, Pennsylvania",1.338,18313,396
Texas,TX,48149,Fayette County,"Fayette County, Texas",1.337,10470,397
Idaho,ID,16025,Camas County,"Camas County, Idaho",1.336,449,398
Virginia,VA,51037,Charlotte County,"Charlotte County, Virginia",1.333,4803,399
Virginia,VA,51036,Charles City County,"Charles City County, Virginia",1.332,2777,400
Delaware,DE,10005,Sussex County,"Sussex County, Delaware",1.331,75642,401
Georgia,GA,13033,Burke County,"Burke County, Georgia",1.330,7743,402
South Carolina,SC,45039,Fairfield County,"Fairfield County, South Carolina",1.330,9475,403
Alabama,AL,1047,Dallas County,"Dallas County, Alabama",1.329,16181,404
Georgia,GA,13295,Walker County,"Walker County, Georgia",1.326,26251,405
Florida,FL,12041,Gilchrist County,"Gilchrist County, Florida",1.325,5963,406
Colorado,CO,8083,Montezuma County,"Montezuma County, Colorado",1.323,10883,407
Louisiana,LA,22063,Livingston Parish,"Livingston Parish, Louisiana",1.323,45518,408
Texas,TX,48203,Harrison County,"Harrison County, Texas",1.322,23147,409
California,CA,6021,Glenn County,"Glenn County, California",1.321,9540,410
Alaska,AK,2150,Kodiak Island Borough,"Kodiak Island Borough, Alaska",1.321,4468,411
Texas,TX,48489,Willacy County,"Willacy County, Texas",1.319,5382,412
Kansas,KS,20127,Morris County,"Morris County, Kansas",1.317,2506,413
Mississippi,MS,28151,Washington County,"Washington County, Mississippi",1.316,18395,414
Kentucky,KY,21013,Bell County,"Bell County, Kentucky",1.314,10881,415
Ohio,OH,39131,Pike County,"Pike County, Ohio",1.314,10730,416
Texas,TX,48061,Cameron County,"Cameron County, Texas",1.313,116839,417
Nebraska,NE,31129,Nuckolls County,"Nuckolls County, Nebraska",1.305,2069,418
Tennessee,TN,47181,Wayne County,"Wayne County, Tennessee",1.304,6056,419
Tennessee,TN,47061,Grundy County,"Grundy County, Tennessee",1.303,5296,420
Missouri,MO,29067,Douglas County,"Douglas County, Missouri",1.300,5077,421
Washington,WA,53023,Garfield County,"Garfield County, Washington",1.299,1001,422
Louisiana,LA,22127,Winn Parish,"Winn Parish, Louisiana",1.298,5469,423
Missouri,MO,29041,Chariton County,"Chariton County, Missouri",1.295,3011,424
Virginia,VA,51720,Norton city,"Norton city, Virginia",1.293,1701,425
Idaho,ID,16059,Lemhi County,"Lemhi County, Idaho",1.292,3716,426
Nevada,NV,32007,Elko County,"Elko County, Nevada",1.291,17512,427
Texas,TX,48503,Young County,"Young County, Texas",1.290,7209,428
Mississippi,MS,28083,Leflore County,"Leflore County, Mississippi",1.289,10942,429
Texas,TX,48137,Edwards County,"Edwards County, Texas",1.288,854,430
Oregon,OR,41025,Harney County,"Harney County, Oregon",1.287,3186,431
New Hampshire,NH,33013,Merrimack County,"Merrimack County, New Hampshire",1.284,57224,432
Louisiana,LA,22065,Madison Parish,"Madison Parish, Louisiana",1.284,4050,433
Wisconsin,WI,55037,Florence County,"Florence County, Wisconsin",1.282,1872,434
North Carolina,NC,37015,Bertie County,"Bertie County, North Carolina",1.282,7723,435
Montana,MT,30071,Phillips County,"Phillips County, Montana",1.281,1795,436
Georgia,GA,13235,Pulaski County,"Pulaski County, Georgia",1.280,4297,437
Georgia,GA,13037,Calhoun County,"Calhoun County, Georgia",1.280,1797,438
Kentucky,KY,21065,Estill County,"Estill County, Kentucky",1.276,5801,439
New Hampshire,NH,33003,Carroll County,"Carroll County, New Hampshire",1.275,20632,440
Texas,TX,48455,Trinity County,"Trinity County, Texas",1.275,4707,441
Missouri,MO,29199,Scotland County,"Scotland County, Missouri",1.271,1967,442
Texas,TX,48069,Castro County,"Castro County, Texas",1.271,2597,443
Arkansas,AR,5025,Cleveland County,"Cleveland County, Arkansas",1.269,3310,444
West Virginia,WV,54077,Preston County,"Preston County, West Virginia",1.268,12780,445
Kentucky,KY,21139,Livingston County,"Livingston County, Kentucky",1.267,3553,446
California,CA,6027,Inyo County,"Inyo County, California",1.264,7910,447
Illinois,IL,17169,Schuyler County,"Schuyler County, Illinois",1.264,3086,448
Kentucky,KY,21105,Hickman County,"Hickman County, Kentucky",1.263,1980,449
Indiana,IN,18093,Lawrence County,"Lawrence County, Indiana",1.261,18869,450
Iowa,IA,19147,Palo Alto County,"Palo Alto County, Iowa",1.261,4044,451
Alabama,AL,1053,Escambia County,"Escambia County, Alabama",1.261,13879,452
Virginia,VA,51103,Lancaster County,"Lancaster County, Virginia",1.260,5395,453
Texas,TX,48013,Atascosa County,"Atascosa County, Texas",1.260,14995,454
Missouri,MO,29093,Iron County,"Iron County, Missouri",1.260,4208,455
Georgia,GA,13253,Seminole County,"Seminole County, Georgia",1.258,3258,456
Georgia,GA,13079,Crawford County,"Crawford County, Georgia",1.257,4692,457
Illinois,IL,17013,Calhoun County,"Calhoun County, Illinois",1.255,2071,458
South Dakota,SD,46023,Charles Mix County,"Charles Mix County, South Dakota",1.253,3193,459
California,CA,6033,Lake County,"Lake County, California",1.253,26103,460
Texas,TX,48007,Aransas County,"Aransas County, Texas",1.252,9825,461
North Dakota,ND,38005,Benson County,"Benson County, North Dakota",1.251,2318,462
Kentucky,KY,21143,Lyon County,"Lyon County, Kentucky",1.251,3278,463
Missouri,MO,29007,Audrain County,"Audrain County, Missouri",1.251,9275,464
California,CA,6025,Imperial County,"Imperial County, California",1.248,47928,465
West Virginia,WV,54109,Wyoming County,"Wyoming County, West Virginia",1.246,9146,466
Vermont,VT,50005,Caledonia County,"Caledonia County, Vermont",1.246,12525,467
Iowa,IA,19111,Lee County,"Lee County, Iowa",1.245,14220,468
Oregon,OR,41023,Grant County,"Grant County, Oregon",1.244,3376,469
Virginia,VA,51113,Madison County,"Madison County, Virginia",1.243,5069,470
Georgia,GA,13105,Elbert County,"Elbert County, Georgia",1.243,7726,471
West Virginia,WV,54075,Pocahontas County,"Pocahontas County, West Virginia",1.242,3783,472
Wyoming,WY,56013,Fremont County,"Fremont County, Wyoming",1.242,15538,473
Georgia,GA,13173,Lanier County,"Lanier County, Georgia",1.241,3627,474
Nebraska,NE,31033,Cheyenne County,"Cheyenne County, Nebraska",1.239,4438,475
Texas,TX,48347,Nacogdoches County,"Nacogdoches County, Texas",1.239,23247,476
Kentucky,KY,21129,Lee County,"Lee County, Kentucky",1.238,2828,477
Mississippi,MS,28139,Tippah County,"Tippah County, Mississippi",1.236,8495,478
Montana,MT,30037,Golden Valley County,"Golden Valley County, Montana",1.235,324,479
Virginia,VA,51051,Dickenson County,"Dickenson County, Virginia",1.234,6404,480
Missouri,MO,29025,Caldwell County,"Caldwell County, Missouri",1.233,3732,481
Texas,TX,48143,Erath County,"Erath County, Texas",1.230,14223,482
Oklahoma,OK,40121,Pittsburg County,"Pittsburg County, Oklahoma",1.230,18612,483
Kansas,KS,20093,Kearny County,"Kearny County, Kansas",1.228,1384,484
Alabama,AL,1039,Covington County,"Covington County, Alabama",1.228,14899,485
Florida,FL,12037,Franklin County,"Franklin County, Florida",1.228,4479,486
Oregon,OR,41033,Josephine County,"Josephine County, Oregon",1.228,34373,487
Michigan,MI,26051,Gladwin County,"Gladwin County, Michigan",1.224,11111,488
Louisiana,LA,22109,Terrebonne Parish,"Terrebonne Parish, Louisiana",1.221,39226,489
West Virginia,WV,54083,Randolph County,"Randolph County, West Virginia",1.219,11238,490
Ohio,OH,39111,Monroe County,"Monroe County, Ohio",1.219,6071,491
Mississippi,MS,28029,Copiah County,"Copiah County, Mississippi",1.218,10014,492
Georgia,GA,13003,Atkinson County,"Atkinson County, Georgia",1.214,2719,493
Arkansas,AR,5061,Howard County,"Howard County, Arkansas",1.213,5192,494
Wisconsin,WI,55023,Crawford County,"Crawford County, Wisconsin",1.213,6841,495
Nebraska,NE,31149,Rock County,"Rock County, Nebraska",1.210,661,496
Vermont,VT,50025,Windham County,"Windham County, Vermont",1.210,19254,497
Vermont,VT,50019,Orleans County,"Orleans County, Vermont",1.210,10991,498
Ohio,OH,39163,Vinton County,"Vinton County, Ohio",1.205,5313,499
Iowa,IA,19007,Appanoose County,"Appanoose County, Iowa",1.204,5481,500
Minnesota,MN,27077,Lake of the Woods County,"Lake of the Woods County, Minnesota",1.201,1749,501
Illinois,IL,17065,Hamilton County,"Hamilton County, Illinois",1.200,3501,502
Ohio,OH,39127,Perry County,"Perry County, Ohio",1.198,13688,503
Minnesota,MN,27065,Kanabec County,"Kanabec County, Minnesota",1.198,6346,504
Virginia,VA,51790,Staunton city,"Staunton city, Virginia",1.197,10613,505
Mississippi,MS,28081,Lee County,"Lee County, Mississippi",1.197,31759,506
Arkansas,AR,5065,Izard County,"Izard County, Arkansas",1.194,5777,507
New York,NY,36099,Seneca County,"Seneca County, New York",1.194,13400,508
Kansas,KS,20159,Rice County,"Rice County, Kansas",1.190,3864,509
Nebraska,NE,31105,Kimball County,"Kimball County, Nebraska",1.190,1681,510
Minnesota,MN,27007,Beltrami County,"Beltrami County, Minnesota",1.186,16688,511
North Carolina,NC,37117,Martin County,"Martin County, North Carolina",1.186,9526,512
Wisconsin,WI,55121,Trempealeau County,"Trempealeau County, Wisconsin",1.182,11673,513
Wisconsin,WI,55013,Burnett County,"Burnett County, Wisconsin",1.182,7361,514
North Dakota,ND,38001,Adams County,"Adams County, North Dakota",1.182,1100,515
Texas,TX,48267,Kimble County,"Kimble County, Texas",1.179,1950,516
North Carolina,NC,37185,Warren County,"Warren County, North Carolina",1.179,7551,517
Wyoming,WY,56003,Big Horn County,"Big Horn County, Wyoming",1.177,4587,518
Washington,WA,53067,Thurston County,"Thurston County, Washington",1.175,100766,519
Kentucky,KY,21107,Hopkins County,"Hopkins County, Kentucky",1.175,18556,520
Missouri,MO,29119,McDonald County,"McDonald County, Missouri",1.175,8257,521
North Carolina,NC,37083,Halifax County,"Halifax County, North Carolina",1.173,21562,522
West Virginia,WV,54041,Lewis County,"Lewis County, West Virginia",1.172,6570,523
New Hampshire,NH,33007,Coos County,"Coos County, New Hampshire",1.170,14704,524
North Carolina,NC,37181,Vance County,"Vance County, North Carolina",1.168,16185,525
Nebraska,NE,31125,Nance County,"Nance County, Nebraska",1.164,1546,526
West Virginia,WV,54013,Calhoun County,"Calhoun County, West Virginia",1.163,3182,527
Missouri,MO,29135,Moniteau County,"Moniteau County, Missouri",1.162,5506,528
Montana,MT,30009,Carbon County,"Carbon County, Montana",1.162,4216,529
Kansas,KS,20185,Stafford County,"Stafford County, Kansas",1.162,1893,530
Indiana,IN,18121,Parke County,"Parke County, Indiana",1.159,6039,531
Wyoming,WY,56041,Uinta County,"Uinta County, Wyoming",1.159,7249,532
Montana,MT,30007,Broadwater County,"Broadwater County, Montana",1.158,2417,533
Mississippi,MS,28117,Prentiss County,"Prentiss County, Mississippi",1.158,9673,534
Missouri,MO,29203,Shannon County,"Shannon County, Missouri",1.157,3371,535
Illinois,IL,17185,Wabash County,"Wabash County, Illinois",1.156,4759,536
Kansas,KS,20035,Cowley County,"Cowley County, Kansas",1.152,13721,537
Oklahoma,OK,40139,Texas County,"Texas County, Oklahoma",1.149,7138,538
Kentucky,KY,21041,Carroll County,"Carroll County, Kentucky",1.148,4268,539
Michigan,MI,26107,Mecosta County,"Mecosta County, Michigan",1.147,15695,540
Hawaii,HI,15009,Maui County,"Maui County, Hawaii",1.142,52267,541
Illinois,IL,17059,Gallatin County,"Gallatin County, Illinois",1.142,2364,542
Arkansas,AR,5099,Nevada County,"Nevada County, Arkansas",1.138,3777,543
West Virginia,WV,54073,Pleasants County,"Pleasants County, West Virginia",1.137,2726,544
Georgia,GA,13127,Glynn County,"Glynn County, Georgia",1.137,31137,545
Ohio,OH,39091,Logan County,"Logan County, Ohio",1.136,18050,546
South Carolina,SC,45011,Barnwell County,"Barnwell County, South Carolina",1.134,8203,547
Texas,TX,48145,Falls County,"Falls County, Texas",1.133,5738,548
New York,NY,36081,Queens County,"Queens County, New York",1.132,776311,549
Texas,TX,48241,Jasper County,"Jasper County, Texas",1.130,13722,550
Wisconsin,WI,55091,Pepin County,"Pepin County, Wisconsin",1.127,3017,551
Mississippi,MS,28103,Noxubee County,"Noxubee County, Mississippi",1.126,4173,552
Oklahoma,OK,40045,Ellis County,"Ellis County, Oklahoma",1.125,1778,553
Florida,FL,12049,Hardee County,"Hardee County, Florida",1.121,7494,554
Kansas,KS,20183,Smith County,"Smith County, Kansas",1.118,1789,555
West Virginia,WV,54005,Boone County,"Boone County, West Virginia",1.117,9755,556
Virginia,VA,51193,Westmoreland County,"Westmoreland County, Virginia",1.116,7077,557
Utah,UT,49055,Wayne County,"Wayne County, Utah",1.114,987,558
Texas,TX,48355,Nueces County,"Nueces County, Texas",1.112,122305,559
Georgia,GA,13193,Macon County,"Macon County, Georgia",1.110,4775,560
Kentucky,KY,21231,Wayne County,"Wayne County, Kentucky",1.109,8296,561
Virginia,VA,51111,Lunenburg County,"Lunenburg County, Virginia",1.108,4601,562
Kentucky,KY,21011,Bath County,"Bath County, Kentucky",1.108,4421,563
Minnesota,MN,27001,Aitkin County,"Aitkin County, Minnesota",1.108,7761,564
Texas,TX,48349,Navarro County,"Navarro County, Texas",1.107,17441,565
Pennsylvania,PA,42131,Wyoming County,"Wyoming County, Pennsylvania",1.105,11037,566
Kansas,KS,20089,Jewell County,"Jewell County, Kansas",1.105,1448,567
Oklahoma,OK,40075,Kiowa County,"Kiowa County, Oklahoma",1.105,3892,568
West Virginia,WV,54059,Mingo County,"Mingo County, West Virginia",1.104,10873,569
Texas,TX,48063,Camp County,"Camp County, Texas",1.103,4350,570
Tennessee,TN,47101,Lewis County,"Lewis County, Tennessee",1.101,4725,571
Indiana,IN,18125,Pike County,"Pike County, Indiana",1.100,5272,572
Arkansas,AR,5121,Randolph County,"Randolph County, Arkansas",1.100,7274,573
Georgia,GA,13107,Emanuel County,"Emanuel County, Georgia",1.098,8106,574
Arkansas,AR,5145,White County,"White County, Arkansas",1.097,29639,575
Texas,TX,48229,Hudspeth County,"Hudspeth County, Texas",1.094,1097,576
Michigan,MI,26097,Mackinac County,"Mackinac County, Michigan",1.093,4940,577
Montana,MT,30095,Stillwater County,"Stillwater County, Montana",1.091,3758,578
Alabama,AL,1129,Washington County,"Washington County, Alabama",1.090,6695,579
Michigan,MI,26083,Keweenaw County,"Keweenaw County, Michigan",1.087,1012,580
Virginia,VA,51175,Southampton County,"Southampton County, Virginia",1.087,6532,580
Kansas,KS,20179,Sheridan County,"Sheridan County, Kansas",1.087,1104,580
California,CA,6045,Mendocino County,"Mendocino County, California",1.087,34228,583
Illinois,IL,17117,Macoupin County,"Macoupin County, Illinois",1.084,19379,584
Arkansas,AR,5089,Marion County,"Marion County, Arkansas",1.083,7200,585
New Mexico,NM,35047,San Miguel County,"San Miguel County, New Mexico",1.083,11730,586
Texas,TX,48175,Goliad County,"Goliad County, Texas",1.080,3056,587
Virginia,VA,51147,Prince Edward County,"Prince Edward County, Virginia",1.079,7227,588
North Carolina,NC,37187,Washington County,"Washington County, North Carolina",1.079,5096,589
Pennsylvania,PA,42067,Juniata County,"Juniata County, Pennsylvania",1.079,9266,590
South Dakota,SD,46109,Roberts County,"Roberts County, South Dakota",1.079,3615,591
Texas,TX,48185,Grimes County,"Grimes County, Texas",1.078,8716,592
New York,NY,36051,Livingston County,"Livingston County, New York",1.078,24127,593
Virginia,VA,51167,Russell County,"Russell County, Virginia",1.077,11140,594
North Carolina,NC,37039,Cherokee County,"Cherokee County, North Carolina",1.077,11238,595
Michigan,MI,26109,Menominee County,"Menominee County, Michigan",1.076,10869,596
Arkansas,AR,5105,Perry County,"Perry County, Arkansas",1.076,3998,597
California,CA,6043,Mariposa County,"Mariposa County, California",1.075,7256,598
